avg_pos.x() avg_pos.y() avg_ang _currentEstimate.pos.x() _currentEstimate.pos.y() _currentEstimate.angle enc[0] enc[1] enc[2] enc[3] enc_reading_sum[0] enc_reading_sum[1] enc_reading_sum[2] enc_reading_sum[3]
-1.49737 4.4852 0.921671 -1.49737 4.4852 0.921671 0 0 0 0 0 0 0 0
-1.49865 4.48649 0.919087 -1.49865 4.48649 0.919087 0 0 0 0 0 0 0 0
-1.49808 4.48471 0.928748 -1.49808 4.48471 0.928748 0 0 0 0 0 0 0 0
-1.49707 4.48496 0.92582 -1.49707 4.48496 0.92582 0 0 0 0 0 0 0 0
-1.49779 4.48512 0.927552 -1.49779 4.48512 0.927552 0 0 0 0 0 0 0 0
-1.49845 4.48347 0.929186 -1.49845 4.48347 0.929186 0 0 0 0 0 0 0 0
-1.49715 4.48421 0.92205 -1.49715 4.48421 0.92205 0 0 0 0 0 0 0 0
-1.49863 4.48418 0.926189 -1.49863 4.48418 0.926189 0 0 0 0 0 0 0 0
-1.49617 4.48548 0.915533 -1.49617 4.48548 0.915533 0 0 0 0 0 0 0 0
-1.49875 4.48442 0.920887 -1.49875 4.48442 0.920887 0 0 0 0 0 0 0 0
-1.49786 4.48393 0.920818 -1.49786 4.48393 0.920818 0 0 0 0 0 0 0 0
-1.49889 4.48279 0.920016 -1.49889 4.48279 0.920016 0 0 0 0 0 0 0 0
-1.49858 4.48517 0.915457 -1.49858 4.48517 0.915457 0 0 0 0 0 0 0 0
-1.49889 4.48279 0.922611 -1.49889 4.48279 0.922611 0 0 0 0 0 0 0 0
-1.49724 4.48652 0.916536 -1.49724 4.48652 0.916536 0 0 0 0 0 0 0 0
-1.49758 4.48468 0.927856 -1.49758 4.48468 0.927856 0 0 0 0 0 0 0 0
-1.49676 4.48422 0.905803 -1.49676 4.48422 0.905803 0 0 0 0 0 0 0 0
-1.49625 4.48638 0.924928 -1.49625 4.48638 0.924928 0 0 0 0 0 0 0 0
-1.49715 4.48355 0.923276 -1.49715 4.48355 0.923276 0 0 0 0 0 0 0 0
-1.49694 4.48445 0.928303 -1.49694 4.48445 0.928303 0 0 0 0 0 0 0 0
-1.49523 4.48235 0.921975 -1.49523 4.48235 0.921975 0 0 0 0 0 0 0 0
-1.49797 4.48442 0.918381 -1.49797 4.48442 0.918381 0 0 0 0 0 0 0 0
-1.49721 4.48502 0.914324 -1.49721 4.48502 0.914324 0 0 0 0 0 0 0 0
-1.49904 4.48417 0.92867 -1.49904 4.48417 0.92867 0 0 0 0 0 0 0 0
-1.49987 4.48326 0.909727 -1.49987 4.48326 0.909727 0 0 0 0 0 0 0 0
-1.49591 4.48558 0.911301 -1.49591 4.48558 0.911301 0 0 0 0 0 0 0 0
-1.49456 4.4866 0.924591 -1.49456 4.4866 0.924591 0 0 0 0 0 0 0 0
-1.49642 4.48519 0.923805 -1.49642 4.48519 0.923805 0 0 0 0 0 0 0 0
-1.49722 4.4849 0.93304 -1.49722 4.4849 0.93304 0 0 0 0 0 0 0 0
-1.49873 4.48227 0.919565 -1.49873 4.48227 0.919565 0 0 0 0 0 0 0 0
-1.49646 4.48497 0.927763 -1.49646 4.48497 0.927763 0 0 0 0 0 0 0 0
-1.49721 4.48329 0.92429 -1.49721 4.48329 0.92429 0 0 0 0 0 0 0 0
-1.49798 4.48494 0.929492 -1.49798 4.48494 0.929492 0 0 0 0 0 0 0 0
-1.49556 4.48499 0.91958 -1.49556 4.48499 0.91958 0 0 0 0 0 0 0 0
-1.4973 4.48541 0.914845 -1.4973 4.48541 0.914845 0 0 0 0 0 0 0 0
-1.49646 4.48423 0.918197 -1.49646 4.48423 0.918197 0 0 0 0 0 0 0 0
-1.49637 4.484 0.912763 -1.49637 4.484 0.912763 0 0 0 0 0 0 0 0
-1.49642 4.48519 0.925276 -1.49642 4.48519 0.925276 0 0 0 0 0 0 0 0
-1.49617 4.48597 0.932281 -1.49617 4.48597 0.932281 0 0 0 0 0 0 0 0
-1.49905 4.48489 0.921616 -1.49905 4.48489 0.921616 0 0 0 0 0 0 0 0
-1.49559 4.48338 0.927157 -1.49559 4.48338 0.927157 0 0 0 0 0 0 0 0
-1.49493 4.48426 0.922517 -1.49493 4.48426 0.922517 0 0 0 0 0 0 0 0
-1.49582 4.48377 0.919165 -1.49582 4.48377 0.919165 0 0 0 0 0 0 0 0
-1.49707 4.48471 0.915797 -1.49707 4.48471 0.915797 0 0 0 0 0 0 0 0
-1.49443 4.48428 0.920198 -1.49443 4.48428 0.920198 0 0 0 0 0 0 0 0
-1.49714 4.48473 0.921206 -1.49714 4.48473 0.921206 0 0 0 0 0 0 0 0
-1.49788 4.48377 0.916109 -1.49788 4.48377 0.916109 0 0 0 0 0 0 0 0
-1.49526 4.4858 0.912816 -1.49526 4.4858 0.912816 0 0 0 0 0 0 0 0
-1.49329 4.48457 0.926397 -1.49329 4.48457 0.926397 0 0 0 0 0 0 0 0
-1.49484 4.48032 0.913933 -1.49484 4.48032 0.913933 0 0 0 0 0 0 0 0
-1.49636 4.48454 0.924646 -1.49636 4.48454 0.924646 0 0 0 0 0 0 0 0
-1.49526 4.4858 0.919303 -1.49526 4.4858 0.919303 0 0 0 0 0 0 0 0
-1.49689 4.48556 0.921195 -1.49689 4.48556 0.921195 0 0 0 0 0 0 0 0
-1.49637 4.484 0.931523 -1.49637 4.484 0.931523 0 0 0 0 0 0 0 0
-1.49775 4.48343 0.924832 -1.49775 4.48343 0.924832 0 0 0 0 0 0 0 0
-1.49461 4.48561 0.923024 -1.49461 4.48561 0.923024 0 0 0 0 0 0 0 0
-1.4958 4.48309 0.925101 -1.4958 4.48309 0.925101 0 0 0 0 0 0 0 0
-1.49526 4.48565 0.920809 -1.49526 4.48565 0.920809 0 0 0 0 0 0 0 0
-1.49826 4.4832 0.918576 -1.49826 4.4832 0.918576 0 0 0 0 0 0 0 0
-1.49286 4.48376 0.918256 -1.49286 4.48376 0.918256 0 0 0 0 0 0 0 0
-1.49861 4.4821 0.927705 -1.49861 4.4821 0.927705 0 0 0 0 0 0 0 0
-1.49642 4.48471 0.914811 -1.49642 4.48471 0.914811 0 0 0 0 0 0 0 0
-1.49461 4.48376 0.920581 -1.49461 4.48376 0.920581 0 0 0 0 0 0 0 0
-1.49619 4.48076 0.911513 -1.49619 4.48076 0.911513 0 0 0 0 0 0 0 0
-1.49461 4.48614 0.915706 -1.49461 4.48614 0.915706 0 0 0 0 0 0 0 0
